帧号,车辆ID,速度(m/s),距离(m),角度(deg)
139,250,12.855614091473907,72.6125232883474,-4.146193006699168
139,251,14.55566838277641,47.585963830161674,-10.595709862721845
139,252,8.50936647183806,13.243189971619524,-41.35457391988947
139,253,-12.089908768678026,167.3127596086082,0.5992934590764724
139,254,-11.444625424882451,169.58680633075375,2.9575459774080946
139,255,-14.305013678862434,162.09434031198967,1.8560515929669201
140,248,14.408068066486807,87.27876775153523,-5.753767034246499
140,249,13.886812443145462,78.64056247688643,-1.2751166611392302
140,250,12.80899323381631,73.89329063122825,-4.0742060023943685
140,251,14.51840460883273,49.03671389857009,-10.278775308114032
140,252,9.312790515924148,14.132104883654517,-38.25464328942233
140,253,-12.207247922113364,166.0920303483161,0.6036982582388728
140,254,-11.35591298972831,168.4511947509167,2.977502143305312
140,255,-14.308721967686852,160.66344963336408,1.8725877047465074
141,248,14.495524244017014,88.72813994997759,-5.659469930740542
141,249,13.885169449777088,80.02900989647354,-1.2529907192967875
141,250,12.824566342247522,75.17562442592916,-4.0045944697085725
141,251,14.493913050517051,50.48511442193215,-9.980815071753819
141,252,10.053788817840866,15.102596590074459,-35.40628407911459
141,253,-12.097606522085563,164.88225412328327,0.6081278867045831
141,254,-11.398548797091406,167.31131934293444,2.9978060379797022
141,255,-14.324151822025122,159.23102073068375,1.8894394284396352
142,248,14.506665848251176,90.17864368757803,-5.568148552166214
142,249,13.8802556659885,81.41696624826896,-1.2316270312783275
142,250,12.81564523962656,76.45706922811196,-3.937369431241038
142,251,14.507298161161582,51.934934997656875,-9.699457204540185
142,252,10.702753962194462,16.14401451497678,-32.819655636087646
142,253,-12.100014723479147,163.67225433248342,0.6126238384380076
142,254,-11.431687317708128,166.1681480459656,3.018448796036322
142,255,-14.383971740836026,157.79260469194682,1.906669634646838
143,248,14.429210923740065,91.62141198490008,-5.480196020903814
143,249,13.884217702806836,82.80532155977902,-1.210973856691232
143,250,12.761977473589596,77.73314920107181,-3.8726334999819416
143,251,14.543347284533443,53.388434056621975,-9.432942833424436
143,252,11.155865470832804,17.23606537635022,-30.507853676746958
143,253,-12.182205426006082,162.4540263351893,0.6172180260467052
143,254,-11.385711845962136,165.0295618812013,3.039293425603599
143,255,-14.363601725856354,156.35623375511116,1.9241918668143383
144,248,14.4075224511577,93.06201729817151,-5.395108656515398
144,249,13.816032891717468,84.1868562697455,-1.1910984800808273
144,250,12.756828462020415,79.00872317674785,-3.8100178227819983
144,251,14.64213995824436,54.8518699683663,-9.179067840803894
144,252,11.582795310898337,18.374873525200424,-28.437103711614238
144,253,-12.156237319114055,161.23839630101696,0.6218716206079775
144,254,-11.368518535865254,163.89269087824673,3.0603960322593196
144,255,-14.323459045378796,154.92386686483135,1.941988994198945
145,248,14.430959900082284,94.50496426631334,-5.312494827155441
145,249,13.830248772060244,85.56982494705709,-1.1718453905415591
145,250,12.856109899972063,80.29424172026604,-3.7489311581246194
145,251,14.646468086543365,56.315793932864715,-8.938477193074979
145,252,11.831389305054062,19.54208699493784,-26.599517835260084
145,253,-12.096398534922495,160.02874931692787,0.6265724947301045
145,254,-11.386332347444506,162.75404112861025,3.0818275858381683
145,255,-14.333585404860202,153.4904913252321,1.9601313620179144
146,248,14.521161467340892,95.95694385407323,-5.2318825074712025
146,249,13.856697368235015,86.9554404290887,-1.1531697543065331
146,250,12.847295020034624,81.57887186199694,-3.6898139838017543
146,251,14.562946696209089,57.77143099945502,-8.711484032493228
146,252,12.186848433357188,20.747314544419044,-24.944573743215088
146,253,-12.211515264935768,158.8075895938044,0.6313907527980371
146,254,-11.422864350410325,161.61173310124585,3.1036318908636837
146,255,-14.399721246618267,152.05050070000212,1.9787020878917412
147,248,14.428464168094946,97.39965384530672,-5.154175138881199
