帧号,车辆ID,速度(m/s),距离(m),角度(deg)
112,276,-10.663592906810276,200.84024011906504,-6.276566465776831
112,277,-10.047826356796874,203.41108785978832,-5.390046445841962
113,270,11.223250418880667,50.40116194662629,13.613397327418326
113,271,12.99357741521866,53.16099312860152,3.7232548688013365
113,272,10.625787382828394,47.02527117731902,11.110676949833506
113,273,4.513742255958949,25.449967760587327,32.562175340702666
113,275,-10.451780602672878,200.90753226614515,-7.287915042780491
113,276,-10.841896971087403,199.75595691385055,-6.22851572664034
113,277,-10.234917697121753,202.38750160014067,-5.340681403949973
114,270,11.394838763802136,51.534435263017514,12.89852961547421
114,271,13.071378522329478,54.46415859217783,3.235856889058335
114,272,10.68392536272771,48.088242114545594,10.458816576869786
114,273,5.256532842561047,25.93791273731152,30.884419336271407
114,275,-10.656603654249865,199.8417996954575,-7.246214240473006
114,276,-10.978081592899208,198.65804632690973,-6.179316519404406
114,277,-10.460548310324603,201.3413435319569,-5.2896983712039045
115,270,11.462527991425269,52.67491184375316,12.216361673770312
115,271,13.130537505046558,55.773515321069574,2.7716126658536666
115,272,10.82594753007116,49.16572816121815,9.832073801983627
115,273,5.9794798427220766,26.500346409090394,29.204754511743744
115,275,-10.874376365234802,198.7542889203266,-7.203192386998373
115,276,-11.212704836292799,197.53666938116936,-6.128490410144806
115,277,-10.673218202619097,200.27391807995573,-5.237118424970439
116,270,11.63699303582572,53.83315057644814,11.558713496908522
116,271,13.147174302400861,57.08482067944885,2.3302675278112828
116,272,10.87193731746522,50.24817276875382,9.234184536424046
116,273,6.687112505219463,27.135575562244707,27.53539297248453
116,275,-11.047280232692652,197.6494758305324,-7.158992893925099
116,276,-11.435258703431538,196.3930361285671,-6.076046201818755
116,277,-10.801637257455749,199.19364241737762,-5.183319628635336
117,270,11.697636074991367,54.99782092225847,10.930306989838938
117,271,13.289337205632917,58.41054435776377,1.906238315954775
117,272,10.996394521918765,51.343349748344224,8.659115877118728
117,273,7.279197936194983,27.832708439846364,25.907860865344773
117,275,-11.298473646781094,196.51953658461164,-7.113265186486961
117,276,-11.654260448956986,195.22750099726298,-6.021953123381555
117,277,-10.995468986603754,198.09397813303946,-5.127939739543428
118,270,11.844322874000083,56.17744538954526,10.32485960165349
118,271,13.328082709159776,59.740347210038955,1.5016287800329182
118,272,11.06370013096623,52.4455337231675,8.108381022296463
118,273,7.900500320147418,28.594018144430994,24.31771346767645
118,275,-11.544706199875202,195.36497532667218,-7.065985068340904
118,276,-11.854908793402258,194.04188950042814,-5.966248455960329
118,277,-11.135904989348713,196.9802629113851,-5.071208419933862
119,270,11.868259755718974,57.35980283516601,9.746985371172245
119,271,13.414024504087296,61.07893361633427,1.113778836546837
119,272,11.118243516680593,53.5534582725251,7.580997121293696
119,273,8.449435941928709,29.412454974704627,22.780284322042924
119,275,-11.733795730250268,194.19148785027087,-7.017343572984511
119,276,-12.101237145319724,192.8316279189139,-5.908665082669626
119,277,-11.243396112793421,195.8557951165828,-5.013260555486297
120,270,12.040990440418621,58.559650268665784,9.188033633536625
120,271,13.435059642785056,62.41981723744472,0.7434147724946217
120,272,11.237092348803447,54.67347114337941,7.072638195653764
120,273,8.910307856003225,30.27933076169315,21.308817022268148
120,275,-11.871630856467412,193.00422514370143,-6.967518348885503
120,276,-12.233403299128431,191.60815143010078,-5.849698705525372
120,277,-11.241587357464986,194.73150098152124,-4.95463784144326
