甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
175,68,-10.96802186,133.8902479,2.247213537,-180
175,69,-8.268152762,157.7414128,0.635658508,-180
175,70,-11.76369062,138.248051,3.628791789,-180
175,71,-10.90635428,150.7574667,1.995680085,-180
175,72,-8.209763571,172.149883,0.582453728,-180
176,55,8.232978765,62.02815145,-1.616700132,-3.05E-05
176,56,11.00075991,98.83127011,-3.045033124,-3.05E-05
176,57,13.81170451,130.1995271,-3.853441168,-3.05E-05
176,58,13.72501679,113.2686517,-4.430511306,-3.05E-05
176,59,10.98799941,83.20414072,-3.617642076,-3.05E-05
176,60,8.189625487,44.50423194,-2.253571564,-3.05E-05
176,61,-8.190607605,139.879078,0.716835079,-180
176,62,-11.65159782,104.8082991,4.788955513,-180
176,63,13.76033127,96.38070568,-5.208815506,-3.05E-05
176,64,-11.0483304,117.2422913,2.566509546,-180
176,65,10.81338274,66.14752636,-4.552242008,-3.05E-05
176,66,8.104635652,30.62505024,-3.27582358,-3.05E-05
176,67,-11.7098789,120.6894129,4.157600038,-180
176,68,-10.98279975,132.7919504,2.265809476,-180
176,69,-8.314513379,156.9099599,0.639026949,-180
176,70,-11.72690212,137.0753237,3.659879486,-180
176,71,-10.84541847,149.6729161,2.010146973,-180
176,72,-8.338224307,171.3160557,0.585288738,-180
177,55,8.160764032,62.84414976,-1.595702664,-3.05E-05
177,56,11.05012856,99.93623056,-3.011334033,-3.05E-05
177,57,13.72661484,131.5721354,-3.813180899,-3.05E-05
177,58,13.73628221,114.6422037,-4.37732428,-3.05E-05
177,59,11.03959655,84.30802165,-3.570212933,-3.05E-05
